                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                0.80332,                0.67481,                 1.0199,                0.95421,                0.89822,                0.96072,                0.82863,                0.52116,                0.34834,                0.85259,              0.0085942,              0.0085942,              0.0085942
                     73,                0.81253,                0.67998,                 1.0229,                0.95447,                0.89831,                 0.9607,                0.82886,                0.52053,                0.34785,                0.85221,              0.0085744,              0.0085744,              0.0085744
                     74,                0.80699,                0.67573,                 1.0211,                0.95655,                0.89685,                0.96083,                0.82924,                0.51986,                0.34745,                0.85185,              0.0085546,              0.0085546,              0.0085546
                     75,                0.80883,                0.68033,                 1.0234,                0.95648,                0.89795,                0.96092,                0.82955,                0.51932,                 0.3471,                0.85147,              0.0085348,              0.0085348,              0.0085348
                     76,                0.80509,                0.67037,                 1.0214,                0.95181,                0.90175,                0.96093,                0.82991,                0.51871,                 0.3465,                0.85114,               0.008515,               0.008515,               0.008515
                     77,                0.80463,                0.66848,                 1.0192,                0.95468,                0.90009,                 0.9613,                0.83011,                0.51813,                0.34617,                0.85084,              0.0084952,              0.0084952,              0.0084952
                     78,                0.81062,                0.67007,                 1.0213,                0.95465,                 0.9003,                0.96115,                0.83036,                0.51763,                0.34582,                0.85049,              0.0084754,              0.0084754,              0.0084754
                     79,                0.80222,                0.66491,                 1.0167,                0.95442,                0.90113,                 0.9612,                0.83079,                 0.5168,                0.34531,                0.85006,              0.0084556,              0.0084556,              0.0084556
                     80,                0.80154,                0.66969,                  1.017,                0.95513,                0.90076,                 0.9613,                0.83093,                0.51604,                0.34472,                0.84961,              0.0084358,              0.0084358,              0.0084358
                     81,                0.80288,                 0.6663,                 1.0163,                0.95589,                0.90079,                0.96155,                0.83116,                0.51552,                0.34422,                0.84932,               0.008416,               0.008416,               0.008416
                     82,                0.80603,                0.67397,                 1.0217,                0.95364,                0.90279,                0.96165,                 0.8315,                0.51503,                0.34363,                 0.8491,              0.0083962,              0.0083962,              0.0083962
                     83,                0.79843,                0.66253,                  1.017,                0.95639,                 0.9015,                0.96198,                0.83199,                0.51446,                0.34332,                0.84867,              0.0083764,              0.0083764,              0.0083764
                     84,                0.79998,                0.66726,                 1.0188,                0.95651,                 0.9015,                0.96211,                0.83231,                0.51381,                0.34292,                0.84823,              0.0083566,              0.0083566,              0.0083566
                     85,                0.79092,                0.65764,                 1.0106,                0.95389,                0.90362,                0.96209,                0.83273,                0.51303,                0.34229,                0.84783,              0.0083368,              0.0083368,              0.0083368
                     86,                0.79769,                0.66246,                 1.0149,                0.95735,                0.90071,                0.96229,                0.83313,                0.51221,                0.34172,                0.84741,               0.008317,               0.008317,               0.008317
                     87,                0.79847,                 0.6644,                 1.0168,                0.95806,                0.90114,                0.96245,                 0.8337,                0.51145,                0.34128,                  0.847,              0.0082972,              0.0082972,              0.0082972
                     88,                0.80239,                0.67223,                 1.0189,                0.95579,                0.90345,                0.96255,                 0.8342,                0.51064,                0.34063,                0.84663,              0.0082774,              0.0082774,              0.0082774
                     89,                0.79719,                0.66352,                 1.0159,                0.95576,                0.90391,                0.96275,                0.83436,                0.50985,                0.34029,                0.84609,              0.0082576,              0.0082576,              0.0082576
                     90,                0.79301,                  0.663,                 1.0134,                0.95602,                0.90399,                0.96284,                0.83463,                0.50903,                0.33969,                0.84568,              0.0082378,              0.0082378,              0.0082378
                     91,                0.79257,                0.66422,                 1.0138,                 0.9556,                0.90436,                0.96317,                0.83506,                0.50824,                0.33925,                0.84528,               0.008218,               0.008218,               0.008218
                     92,                 0.7905,                0.65393,                 1.0149,                0.95545,                0.90453,                 0.9632,                0.83527,                0.50759,                0.33863,                0.84492,              0.0081982,              0.0081982,              0.0081982
                     93,                0.79499,                0.65512,                 1.0124,                0.95619,                 0.9042,                0.96334,                 0.8356,                0.50683,                0.33827,                0.84441,              0.0081784,              0.0081784,              0.0081784
                     94,                0.79681,                0.66268,                 1.0172,                0.95587,                0.90483,                0.96344,                0.83579,                0.50625,                0.33788,                0.84415,              0.0081586,              0.0081586,              0.0081586
                     95,                0.79454,                0.65929,                  1.017,                0.95613,                0.90499,                0.96365,                0.83629,                0.50561,                0.33741,                0.84376,              0.0081388,              0.0081388,              0.0081388
                     96,                  0.794,                0.65805,                 1.0149,                0.95563,                0.90504,                0.96394,                0.83658,                0.50505,                0.33695,                0.84339,               0.008119,               0.008119,               0.008119
                     97,                0.79219,                0.66305,                 1.0145,                 0.9563,                0.90507,                0.96389,                0.83695,                0.50449,                 0.3365,                0.84308,              0.0080992,              0.0080992,              0.0080992
                     98,                0.78971,                0.65779,                 1.0138,                0.95617,                0.90516,                0.96406,                0.83724,                0.50389,                0.33606,                0.84272,              0.0080794,              0.0080794,              0.0080794
                     99,                0.78656,                0.65644,                 1.0098,                0.95607,                0.90559,                0.96418,                0.83761,                0.50354,                0.33576,                0.84231,              0.0080596,              0.0080596,              0.0080596
                    100,                 0.7974,                0.65976,                 1.0151,                0.95595,                0.90624,                0.96429,                0.83793,                0.50311,                0.33542,                0.84211,              0.0080398,              0.0080398,              0.0080398
                    101,                0.78915,                0.65479,                 1.0116,                0.95632,                 0.9059,                0.96438,                 0.8383,                0.50247,                0.33497,                0.84176,                0.00802,                0.00802,                0.00802
                    102,                0.78906,                0.65195,                 1.0132,                0.95742,                0.90485,                0.96459,                0.83873,                0.50206,                0.33453,                0.84155,              0.0080002,              0.0080002,              0.0080002
                    103,                0.79059,                0.65451,                 1.0144,                0.95767,                0.90556,                0.96471,                0.83885,                 0.5016,                0.33439,                0.84129,              0.0079804,              0.0079804,              0.0079804
                    104,                0.78748,                0.65499,                  1.012,                0.95695,                0.90642,                  0.965,                0.83919,                0.50127,                0.33418,                0.84111,              0.0079606,              0.0079606,              0.0079606
                    105,                 0.7849,                0.65702,                  1.012,                0.95756,                0.90607,                0.96525,                0.83932,                0.50088,                0.33373,                0.84086,              0.0079408,              0.0079408,              0.0079408
                    106,                 0.7809,                0.64675,                 1.0115,                0.95739,                0.90599,                 0.9652,                0.83969,                0.50049,                0.33331,                0.84061,               0.007921,               0.007921,               0.007921
                    107,                0.78014,                0.65421,                 1.0082,                0.95691,                0.90639,                0.96533,                0.84001,                0.49988,                0.33304,                0.84033,              0.0079012,              0.0079012,              0.0079012
                    108,                0.78381,                0.64916,                 1.0102,                 0.9572,                0.90631,                0.96544,                0.84021,                0.49941,                0.33265,                0.84002,              0.0078814,              0.0078814,              0.0078814
                    109,                  0.788,                0.64665,                 1.0114,                 0.9572,                0.90644,                0.96559,                0.84045,                0.49899,                0.33232,                0.83981,              0.0078616,              0.0078616,              0.0078616
                    110,                0.78335,                0.64822,                 1.0107,                0.95708,                0.90653,                0.96563,                 0.8407,                 0.4984,                0.33181,                 0.8395,              0.0078418,              0.0078418,              0.0078418
                    111,                0.78325,                0.64594,                 1.0086,                0.95636,                 0.9073,                0.96582,                0.84097,                0.49799,                 0.3313,                0.83934,               0.007822,               0.007822,               0.007822
                    112,                0.78147,                0.65214,                 1.0129,                0.95931,                0.90553,                0.96595,                0.84127,                0.49764,                0.33084,                0.83913,              0.0078022,              0.0078022,              0.0078022
                    113,                0.77767,                0.64788,                 1.0092,                0.95939,                0.90557,                0.96613,                0.84177,                0.49707,                0.33028,                0.83884,              0.0077824,              0.0077824,              0.0077824
                    114,                0.78234,                0.64535,                 1.0121,                0.95929,                0.90603,                0.96625,                0.84198,                0.49676,                0.32977,                0.83864,              0.0077626,              0.0077626,              0.0077626
                    115,                0.78177,                  0.643,                 1.0083,                0.95941,                0.90586,                0.96628,                0.84235,                0.49636,                0.32919,                0.83825,              0.0077428,              0.0077428,              0.0077428
                    116,                0.78316,                0.64598,                 1.0099,                0.95937,                0.90611,                0.96638,                 0.8425,                0.49578,                0.32882,                0.83787,               0.007723,               0.007723,               0.007723
                    117,                0.78205,                0.64354,                 1.0063,                0.96005,                0.90574,                0.96647,                0.84291,                0.49533,                0.32823,                0.83759,              0.0077032,              0.0077032,              0.0077032
                    118,                0.78243,                0.65104,                 1.0055,                0.96062,                0.90563,                 0.9666,                0.84314,                0.49493,                0.32794,                0.83742,              0.0076834,              0.0076834,              0.0076834
                    119,                0.78219,                0.65044,                 1.0108,                0.96135,                0.90571,                0.96682,                0.84316,                0.49444,                0.32761,                 0.8371,              0.0076636,              0.0076636,              0.0076636
                    120,                0.78078,                0.64516,                 1.0067,                0.96137,                0.90627,                0.96707,                0.84334,                0.49419,                0.32722,                0.83684,              0.0076438,              0.0076438,              0.0076438
                    121,                0.77636,                 0.6443,                  1.006,                0.96186,                 0.9062,                0.96726,                0.84357,                0.49387,                0.32679,                0.83664,               0.007624,               0.007624,               0.007624
                    122,                0.77512,                0.64141,                 1.0064,                 0.9622,                0.90628,                0.96747,                0.84376,                0.49336,                0.32633,                0.83643,              0.0076042,              0.0076042,              0.0076042
                    123,                 0.7759,                 0.6445,                 1.0044,                0.96113,                0.90711,                0.96759,                0.84408,                0.49316,                0.32598,                0.83624,              0.0075844,              0.0075844,              0.0075844
                    124,                0.78002,                0.64129,                 1.0081,                0.96105,                0.90786,                0.96774,                0.84434,                0.49281,                 0.3256,                0.83596,              0.0075646,              0.0075646,              0.0075646
                    125,                0.77924,                0.64564,                  1.008,                0.96131,                0.90786,                0.96767,                0.84434,                0.49239,                0.32527,                0.83574,              0.0075448,              0.0075448,              0.0075448
